area_id,area_name,latitude,longtitude,address,custno
101,주전방파제,35.5615,129.4583,울산광역시 동구 주전동 94-13,
102,울산 방어진 쌍둥이여,35.4869,129.4398,울산광역시 동구 일산동 909 앞 해상,
103,울산 소바위,35.4865,129.4385,울산광역시 동구 일산동 910-1,
104,상진방파제,35.4813,129.4203,울산광역시 동구 방어동 846-18,
105,약산 득암항,35.3698,127.7907,전라남도 완도군 약산면 득암항,
106,간절곶방파제,35.3627,129.3614,울산광역시 울주군 서생면 대송리 1-8,
107,평동방파제,35.3548,129.3536,울산광역시 울주군 서생면 대송리 51-15,
108,나사리방파제,35.3541,129.3407,울산광역시 울주군 서생면 나사리 168-8,
109,신암1리 방파제,35.3463,129.3263,울산광역시 울주군 서생면 신암리 291-64,
110,신리방파제,35.3416,129.3211,울산광역시 울주군 서생면 신암리 1572-2,
111,약산면 가사리 ,35.3307,127.7835,전라남도 완도군 약산면 가사리 ,
112,길천방파제,35.3257,129.2845,부산광역시 기장군 장안읍 길천리 188-63,
113,가마미,35.3242,126.4187,전라남도 영광군 홍농읍 계마포구,
114,임랑해수욕장,35.3159,129.2626,부산광역시 기장군 장안읍 임랑리 144-2,
115,이동방파제,35.2702,129.2467,부산광역시 기장군 일광읍 이천리 170-5,
116,학리방파제,35.2608,129.247,부산광역시 기장군 일광읍 학리 251-21,
117,대변방파제,35.2164,129.2346,부산광역시 기장군 기장읍 대변리 245-9,
118,울산 사작여,35.183,129.4355,울산광역시 동구 방어동 5-2,
119,부산 송정방파제,35.1803,129.2074,부산광역시 해운대구 송정동 288-56,
120,금호방조제,35.1739,126.841,전라남도 해남군 산이면 구성리,
121,청사포방파제,35.1588,129.1908,부산광역시 해운대구 중동 591-17,
122,부산 미포방파제,35.1576,129.171,부산광역시 해운대구 중동 1015-9,
123,녹동항 소록대교,35.1118,128.9778,전라남도 고흥군 도양읍 봉암리,
124,석금방파제,35.1054,129.0217,전라북도 부안군 위도면 대리,
125,오륙도 앞 갯바위,35.0994,129.1241,부산광역시 남구 용호동 산196-10,
126,부산항국제선용품유통센터,35.0887,129.0322,부산광역시 영도구 남항동2가 12-19,
127,남부민방파제,35.0858,129.0303,부산광역시 서구 남부민동 696-4,
128,부산남항동방파제,35.0849,129.0331,부산광역시 영도구 남항동3가 141-213,
129,오륙도방파제,35.0847,129.1057,부산광역시 남구 용당동 1-6 앞 해상,
130,조도방파제,35.0792,129.1046,부산광역시 영도구 동삼동 1-17,
131,암남공원 갯바위,35.0586,129.0186,부산광역시 서구 암남동 산193-4,
132,태종대 동백골 (1),35.0581,129.0955,부산광역시 영도구 동삼동 산29-1,
133,태종대 동백골 (2),35.0577,129.095,부산광역시 영도구 동삼동 산29-1,
134,감천항동방파제,35.0513,129.0089,부산광역시 서구 암남동 704,
135,태종대 전망대 (1),35.0498,129.0878,부산광역시 영도구 동삼동 산29-1,
136,해양대방파제,35.0497,129.0847,부산광역시 영도구 동삼동 884-1,
137,태종대 전망대 (2),35.0495,129.0865,부산광역시 영도구 동삼동 산29-1,
138,감천항서방파제,35.049,129.006,부산광역시 사하구 구평동 499,
139,다대포방파제,35.0462,128.9762,부산광역시 사하구 다대동 375-17,
140,다대포 빨간등대 (1),35.0356,128.975,부산광역시 사하구 다대동 1493-2,
141,다대포 빨간등대 (2),35.0352,128.9748,부산광역시 사하구 다대동 1493-2,
142,다대포 빨간등대 (3),35.0352,128.9747,부산광역시 사하구 다대동 1493-2,
143,다대포 동섬 (1),35.0309,128.9781,부산광역시 사하구 다대동 1493,
144,다대포 동섬 (2),35.0307,128.9781,부산광역시 사하구 다대동 1493,
145,다대포 동섬 (3),35.0306,128.9781,부산광역시 사하구 다대동 1493,
146,쥐섬 (1),35.0298,128.9724,부산광역시 사하구 다대동 산146,
147,쥐섬 (2),35.0273,128.974,부산광역시 사하구 다대동 산146,
148,쥐섬 (3),35.0264,128.9725,부산광역시 사하구 다대동 산146,
149,쥐섬 (4),35.0256,128.9735,부산광역시 사하구 다대동 산146,
150,가덕도 휴게소,35.0237,128.8048,부산광역시 강서구 천성동 산255,
151,가덕도 갑수서도 천수대,35.0224,128.8046,부산광역시 강서구 천성동 산255,
152,가덕도 거가대교 밑,35.0215,128.806,부산광역시 강서구 천성동 산255-1,
153,가덕도 솔섬,35.0036,128.8184,부산광역시 강서구 대항동 162-1,
154,가덕도 등대 (1),34.9894,128.8296,부산광역시 강서구 대항동 162-1,
155,가덕도 등대 (2),34.9891,128.8293,부산광역시 강서구 대항동 162-1,
156,가덕도 등대 (3),34.9888,128.8286,부산광역시 강서구 대항동 162-1,
157,나무섬,34.9783,128.9887,부산광역시 사하구 다대동 산148,
158,거제 오동도 방파제 ,34.978144,128.703023,경상남도 거제시 동부면 오동리 688-5 ,
159,진도 조도군도 관사도 ,34.9679,126.2392,전라남도 진도군 조도면,
160,가조도 선외기,34.9444,128.5132,경상남도 거제시 사등면 창호리 2775-2,
161,거제 망월산 (1),34.9426,128.7268,경상남도 거제시 장목면 외포리 산35,
162,거제 망월산 (2),34.9424,128.7268,경상남도 거제시 장목면 외포리 산35,
163,거제 망월산 (3),34.9421,128.7267,경상남도 거제시 장목면 외포리 산35,
